case_id,arch,anchored,pose,noise,stage,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms
dram_anchored_pose-none_0000,dram,anchored,none,none,ncc,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,91.02883300511166
dram_anchored_pose-none_0000,dram,anchored,none,none,weighted,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,281.7847080004867
dram_anchored_pose-none_0000,dram,anchored,none,none,selected,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,286.7809580056928
dram_anchored_pose-none_0001,dram,anchored,none,none,ncc,127.76712372639233,709.0552582342465,109.5,526.5,183.46691832100888,0,56.776708996039815
dram_anchored_pose-none_0001,dram,anchored,none,none,weighted,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,275.41920900694095
dram_anchored_pose-none_0001,dram,anchored,none,none,selected,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,280.2590840001358
dram_anchored_pose-none_0002,dram,anchored,none,none,ncc,863.977595873166,497.1548480905214,637.5,579.5,240.98303980878865,0,55.66054199880455
dram_anchored_pose-none_0002,dram,anchored,none,none,weighted,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,273.37183301278856
dram_anchored_pose-none_0002,dram,anchored,none,none,selected,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,278.19687401643023
dram_anchored_pose-none_0003,dram,anchored,none,none,ncc,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,56.608124999911524
dram_anchored_pose-none_0003,dram,anchored,none,none,weighted,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,272.4197500065202
dram_anchored_pose-none_0003,dram,anchored,none,none,selected,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,277.2513330128277
dram_anchored_pose-none_0004,dram,anchored,none,none,ncc,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,56.45945799187757
dram_anchored_pose-none_0004,dram,anchored,none,none,weighted,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,272.6938749983674
dram_anchored_pose-none_0004,dram,anchored,none,none,selected,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,277.4999589892104
dram_anchored_pose-none_0005,dram,anchored,none,none,ncc,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,56.57495900231879
dram_anchored_pose-none_0005,dram,anchored,none,none,weighted,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,272.33837499807123
dram_anchored_pose-none_0005,dram,anchored,none,none,selected,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,277.1345830115024
dram_anchored_pose-none_0006,dram,anchored,none,none,ncc,822.5367760836219,100.19993813258809,880.5,564.5,467.9041384481042,0,55.75304199010134
dram_anchored_pose-none_0006,dram,anchored,none,none,weighted,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,272.24420801212545
dram_anchored_pose-none_0006,dram,anchored,none,none,selected,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,277.03875000588596
dram_anchored_pose-none_0007,dram,anchored,none,none,ncc,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,55.706208004266955
dram_anchored_pose-none_0007,dram,anchored,none,none,weighted,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,272.7987920079613
dram_anchored_pose-none_0007,dram,anchored,none,none,selected,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,277.67920801125
dram_anchored_pose-none_0008,dram,anchored,none,none,ncc,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,55.82820800191257
dram_anchored_pose-none_0008,dram,anchored,none,none,weighted,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,272.2490409942111
dram_anchored_pose-none_0008,dram,anchored,none,none,selected,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,277.03949899296276
dram_anchored_pose-small_0009,dram,anchored,small,none,ncc,533.4204479498359,472.60486016751605,533.5,472.5,0.1316213638312936,1,56.32820799655747
dram_anchored_pose-small_0009,dram,anchored,small,none,weighted,533.4204479498359,472.60486016751605,533.5,472.5,0.1316213638312936,1,273.51445800741203
dram_anchored_pose-small_0009,dram,anchored,small,none,selected,533.4204479498359,472.60486016751605,533.5,472.5,0.1316213638312936,1,278.3416240126826
dram_anchored_pose-small_0010,dram,anchored,small,none,ncc,157.23703385679948,695.5954428901074,157.5,695.5,0.27975084940318873,1,56.730291005806066
dram_anchored_pose-small_0010,dram,anchored,small,none,weighted,157.23703385679948,695.5954428901074,157.5,695.5,0.27975084940318873,1,271.27220899274107
dram_anchored_pose-small_0010,dram,anchored,small,none,selected,157.23703385679948,695.5954428901074,157.5,695.5,0.27975084940318873,1,276.07620898925234
dram_anchored_pose-small_0011,dram,anchored,small,none,ncc,140.4249198552512,277.6607457535418,140.5,277.5,0.17741540355115115,1,55.68529099400621
dram_anchored_pose-small_0011,dram,anchored,small,none,weighted,140.4249198552512,277.6607457535418,140.5,277.5,0.17741540355115115,1,254.98712500848342
dram_anchored_pose-small_0011,dram,anchored,small,none,selected,140.4249198552512,277.6607457535418,140.5,277.5,0.17741540355115115,1,259.8095420107711
dram_anchored_pose-small_0012,dram,anchored,small,none,ncc,684.5194340465712,751.724293826315,684.5,751.5,0.22513418818377884,1,55.705624996335246
dram_anchored_pose-small_0012,dram,anchored,small,none,weighted,684.5194340465712,751.724293826315,684.5,751.5,0.22513418818377884,1,258.677624995471
dram_anchored_pose-small_0012,dram,anchored,small,none,selected,684.5194340465712,751.724293826315,684.5,751.5,0.22513418818377884,1,263.4456249943469
dram_anchored_pose-small_0013,dram,anchored,small,none,ncc,161.6499637080047,300.0920520366508,161.5,300.5,0.43463853317358914,1,56.54395799501799
dram_anchored_pose-small_0013,dram,anchored,small,none,weighted,161.6499637080047,300.0920520366508,161.5,300.5,0.43463853317358914,1,272.4381670122966
dram_anchored_pose-small_0013,dram,anchored,small,none,selected,161.6499637080047,300.0920520366508,161.5,300.5,0.43463853317358914,1,277.2388760204194
dram_anchored_pose-small_0014,dram,anchored,small,none,ncc,547.5929936804008,590.6119000312708,547.5,590.5,0.14549722194219172,1,55.747749996953644
dram_anchored_pose-small_0014,dram,anchored,small,none,weighted,547.5929936804008,590.6119000312708,547.5,590.5,0.14549722194219172,1,276.58295900619123
dram_anchored_pose-small_0014,dram,anchored,small,none,selected,547.5929936804008,590.6119000312708,547.5,590.5,0.14549722194219172,1,281.44300100393593
dram_anchored_pose-small_0015,dram,anchored,small,none,ncc,296.0197864783282,168.46931836506195,270.5,785.5,617.5581928699316,0,56.16199999349192
dram_anchored_pose-small_0015,dram,anchored,small,none,weighted,296.0197864783282,168.46931836506195,295.5,168.5,0.5206912192223665,1,272.7802919980604
dram_anchored_pose-small_0015,dram,anchored,small,none,selected,296.0197864783282,168.46931836506195,295.5,168.5,0.5206912192223665,1,277.57070799998473
dram_anchored_pose-small_0016,dram,anchored,small,none,ncc,889.7587093779482,226.12496344009605,889.5,226.5,0.45561273413166936,1,56.545833009295166
dram_anchored_pose-small_0016,dram,anchored,small,none,weighted,889.7587093779482,226.12496344009605,889.5,226.5,0.45561273413166936,1,268.74658299493603
dram_anchored_pose-small_0016,dram,anchored,small,none,selected,889.7587093779482,226.12496344009605,889.5,226.5,0.45561273413166936,1,273.50649899744894
dram_anchored_pose-small_0017,dram,anchored,small,none,ncc,91.42183950224461,124.74985016225746,91.5,124.5,0.26179031110690343,1,55.53866700211074
dram_anchored_pose-small_0017,dram,anchored,small,none,weighted,91.42183950224461,124.74985016225746,91.5,124.5,0.26179031110690343,1,271.6842079971684
dram_anchored_pose-small_0017,dram,anchored,small,none,selected,91.42183950224461,124.74985016225746,91.5,124.5,0.26179031110690343,1,276.44737498485483
dram_anchored_pose-large_0018,dram,anchored,large,none,ncc,109.55062008414963,174.15086967780226,699.5,195.5,590.3355454558116,0,56.399458000669256
dram_anchored_pose-large_0018,dram,anchored,large,none,weighted,109.55062008414963,174.15086967780226,49.5,220.5,75.85722677579865,0,271.2317499972414
dram_anchored_pose-large_0018,dram,anchored,large,none,selected,109.55062008414963,174.15086967780226,49.5,220.5,75.85722677579865,0,276.01074999256525
dram_anchored_pose-large_0019,dram,anchored,large,none,ncc,231.73725434383206,180.8854368150356,231.5,180.5,0.4526048630449889,1,55.48687500413507
dram_anchored_pose-large_0019,dram,anchored,large,none,weighted,231.73725434383206,180.8854368150356,231.5,180.5,0.4526048630449889,1,271.1929159995634
dram_anchored_pose-large_0019,dram,anchored,large,none,selected,231.73725434383206,180.8854368150356,231.5,180.5,0.4526048630449889,1,275.967916008085
dram_anchored_pose-large_0020,dram,anchored,large,none,ncc,679.0123953323673,678.2839687223943,678.5,678.5,0.5560741762892278,1,55.56412499572616
