case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,low,20260807,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,143.51941699896997,
dram_anchored_pose-none_0001,dram,anchored,none,low,20260808,127.76712372639233,709.0552582342465,127.5,709.5,0.518796996336025,1,92.0827919999283,
dram_anchored_pose-none_0002,dram,anchored,none,low,20260809,863.977595873166,497.1548480905214,863.5,497.5,0.5892602639597736,1,89.34954199867207,
dram_anchored_pose-none_0003,dram,anchored,none,low,20260810,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,90.26775000165799,
dram_anchored_pose-none_0004,dram,anchored,none,low,20260811,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,87.7970000001369,
dram_anchored_pose-none_0005,dram,anchored,none,low,20260812,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,86.62112499951036,
dram_anchored_pose-none_0006,dram,anchored,none,low,20260813,822.5367760836219,100.19993813258809,822.5,100.5,0.30230713620636107,1,90.11500000087835,
dram_anchored_pose-none_0007,dram,anchored,none,low,20260814,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,93.41729199877591,
dram_anchored_pose-none_0008,dram,anchored,none,low,20260815,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,84.47700000033365,
dram_anchored_pose-none_0009,dram,anchored,none,medium,20260816,533.321272010387,472.6861558680793,533.5,472.5,0.2580653047030139,1,90.37237499978801,
dram_anchored_pose-none_0010,dram,anchored,none,medium,20260817,158.01080438142,695.1538958053641,296.5,79.5,631.0380152759446,0,91.01683300104924,
dram_anchored_pose-none_0011,dram,anchored,none,medium,20260818,140.26158646501844,277.5597503670893,140.5,277.5,0.24578673688730487,1,89.91962500113004,
dram_anchored_pose-none_0012,dram,anchored,none,medium,20260819,684.7645661116504,752.0587068180689,320.5,623.5,386.28488868093604,0,87.91820800070127,
dram_anchored_pose-none_0013,dram,anchored,none,medium,20260820,160.2351067517593,299.2561096088492,584.5,328.5,425.27156590601106,0,89.93295899927034,
dram_anchored_pose-none_0014,dram,anchored,none,medium,20260821,547.4593473261813,590.3574518625045,547.5,590.5,0.148231614010138,1,91.4735419992212,
dram_anchored_pose-none_0015,dram,anchored,none,medium,20260822,295.38384333105387,167.43571485295203,295.5,167.5,0.13275899921150475,1,88.92612499948882,
dram_anchored_pose-none_0016,dram,anchored,none,medium,20260823,891.0634355628795,225.2081604976576,891.5,225.5,0.5251274158581196,1,89.05170900106896,
dram_anchored_pose-none_0017,dram,anchored,none,medium,20260824,90.6062556598273,124.00079407296602,90.5,124.5,0.5103888937184992,1,91.19825000016135,
dram_anchored_pose-none_0018,dram,anchored,none,high,20260825,109.54818884074346,174.1488406861064,109.5,174.5,0.35445031824843287,1,87.7855830003682,
dram_anchored_pose-none_0019,dram,anchored,none,high,20260826,231.23683679779344,180.29016024682034,231.5,180.5,0.336582223253266,1,89.45895900069445,
dram_anchored_pose-none_0020,dram,anchored,none,high,20260827,678.5219564311266,677.7955254860101,678.5,677.5,0.2963400036264374,1,93.54083400103264,
dram_anchored_pose-none_0021,dram,anchored,none,high,20260828,827.729954021984,494.08618833762546,305.5,247.5,577.519586816484,0,88.19804199993087,
dram_anchored_pose-none_0022,dram,anchored,none,high,20260829,662.9662488192854,419.7652230076761,662.5,419.5,0.5364058214503249,1,94.57308299897704,
dram_anchored_pose-none_0023,dram,anchored,none,high,20260830,213.50529312651278,378.59888955464135,213.5,378.5,0.09903111231044551,1,92.35249999983353,
dram_anchored_pose-none_0024,dram,anchored,none,high,20260831,499.15651337698955,907.5884994850786,499.5,907.5,0.3547044108075091,1,91.58504199876916,
dram_anchored_pose-none_0025,dram,anchored,none,high,20260832,546.4402498790027,512.5697836871215,546.5,512.5,0.09186860153203372,1,91.41362499940442,
dram_anchored_pose-none_0026,dram,anchored,none,high,20260833,483.36777765861353,86.48143187212058,483.5,86.5,0.13351974735845518,1,91.3338329992257,
dram_anchored_pose-small_0027,dram,anchored,small,low,20260834,224.039361168415,86.535944556148,224.5,86.5,0.4620391155309888,1,99.50929200022074,
dram_anchored_pose-small_0028,dram,anchored,small,low,20260835,134.3098489097896,145.70598015778063,134.5,145.5,0.2803306306980014,1,98.1342079994647,
dram_anchored_pose-small_0029,dram,anchored,small,low,20260836,694.5492442621131,808.474642587429,694.5,808.5,0.05538949109137475,1,98.84770899952855,
dram_anchored_pose-small_0030,dram,anchored,small,low,20260837,424.7729807558094,745.5237709618125,424.5,745.5,0.2740137800690944,1,99.98920799989719,
dram_anchored_pose-small_0031,dram,anchored,small,low,20260838,666.2059866841,667.0144132874726,49.5,940.5,674.6262966646829,0,96.7707089985197,
dram_anchored_pose-small_0032,dram,anchored,small,low,20260839,570.4252362077422,476.15252164997924,570.5,476.5,0.3554304831692504,1,96.40645900071831,
dram_anchored_pose-small_0033,dram,anchored,small,low,20260840,458.6866462973992,255.1685343678363,458.5,255.5,0.3804028202294482,1,99.90062499855412,
dram_anchored_pose-small_0034,dram,anchored,small,low,20260841,328.8916297670787,887.2243572961602,390.5,870.5,63.838040459637604,0,99.61858300084714,
dram_anchored_pose-small_0035,dram,anchored,small,low,20260842,609.8846431407513,660.9969200914933,482.5,844.5,223.38358857356636,0,99.39066600054502,
dram_anchored_pose-small_0036,dram,anchored,small,medium,20260843,135.79748447778692,673.6411714540867,135.5,673.5,0.32928163321556914,1,96.91633399961574,
dram_anchored_pose-small_0037,dram,anchored,small,medium,20260844,547.6301665186736,438.90449098307107,547.5,438.5,0.42491914286062366,1,98.55779200006509,
dram_anchored_pose-small_0038,dram,anchored,small,medium,20260845,806.503308085577,398.7167938292946,806.5,398.5,0.2168190670822148,1,100.25770799984457,
dram_anchored_pose-small_0039,dram,anchored,small,medium,20260846,111.03808871571891,493.9181990839855,111.5,493.5,0.6230991160260951,1,104.46012499960489,
dram_anchored_pose-small_0040,dram,anchored,small,medium,20260847,284.3758118511194,103.75600264240674,284.5,103.5,0.2845347944305266,1,101.38041599930148,
dram_anchored_pose-small_0041,dram,anchored,small,medium,20260848,700.8851983400242,612.4152746077232,700.5,612.5,0.39440607659348176,1,98.3909999995376,
dram_anchored_pose-small_0042,dram,anchored,small,medium,20260849,811.3424628322523,639.9793228231513,300.5,182.5,685.7458367669833,0,97.812583000632,
dram_anchored_pose-small_0043,dram,anchored,small,medium,20260850,908.4841837538216,828.8418916410936,908.5,828.5,0.3422572831845601,1,99.94691699830582,
dram_anchored_pose-small_0044,dram,anchored,small,medium,20260851,723.339317017613,790.725731586064,723.5,790.5,0.27708080008497454,1,99.93583300092723,
dram_anchored_pose-small_0045,dram,anchored,small,high,20260852,190.71282033502274,524.7743774152493,190.5,524.5,0.34723977450472,1,99.87412500049686,
dram_anchored_pose-small_0046,dram,anchored,small,high,20260853,726.6221950435852,597.6528938037579,726.5,597.5,0.19572466350553133,1,99.98116700080573,
dram_anchored_pose-small_0047,dram,anchored,small,high,20260854,338.36528164328104,255.74814204626614,338.5,255.5,0.2823535208957106,1,99.19616700062761,
