case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,none,20260807,531.8194732184453,446.266375344203,531.8199999928474,446.2699999958277,0.0036627299478421004,1,0.0,10.0,0.0,0.0,0.0831446405364518,1,0.9484431147575378,3.199264041401457,1,False,0.2839788513671458,0.0,10.0,0.2616632878780365,phase_cross_correlation,ambiguous,none,369.8587089893408,369.8688750009751,
dram_anchored_pose-none_0001,dram,anchored,none,none,20260808,127.76712372639233,709.0552582342465,127.75999999046326,709.0500000119209,0.008854180685532502,1,0.0,10.0,0.0,0.0,0.07935898549401903,1,0.9375277161598206,3.097822993963014,1,False,0.28179308312049506,0.0,10.0,0.24748225510120392,phase_cross_correlation,ambiguous,none,376.65874999947846,376.6667919990141,
dram_anchored_pose-none_0002,dram,anchored,none,none,20260809,863.977595873166,497.1548480905214,863.9799999892712,497.1599999964237,0.00568523602618127,1,0.0,10.0,0.0,0.0,0.0893596002963001,1,0.9338565468788147,3.357041187696001,1,False,0.2735178239475042,0.0,10.0,0.26204147934913635,phase_cross_correlation,ambiguous,none,351.3532920042053,351.36037500342354,
dram_anchored_pose-none_0003,dram,anchored,none,none,20260810,232.65846231244757,735.5809719729891,232.65999999642372,735.5900000035763,0.009158046095822908,1,0.0,10.0,0.0,0.0,0.08325787984012682,1,0.9623138904571533,3.2022331312177115,1,False,0.28291633780051767,0.0,10.0,0.24893593788146973,phase_cross_correlation,ambiguous,none,411.2676250078948,411.274375001085,
dram_anchored_pose-none_0004,dram,anchored,none,none,20260811,503.24196628643364,564.1423323810496,503.24000000953674,564.1500000059605,0.007915725905331494,1,0.0,10.0,0.0,0.0,0.08233355178961997,1,0.9437658190727234,3.177889445706704,1,False,0.2796232687370181,0.0,10.0,0.27116143703460693,phase_cross_correlation,ambiguous,none,350.43029200460296,350.4376670025522,
dram_anchored_pose-none_0005,dram,anchored,none,none,20260812,422.4269067090371,119.43962208882554,422.429999999702,119.4400000013411,0.0031162902635733956,1,0.0,10.0,0.0,0.0,0.0776982105912687,1,0.9631168842315674,3.051919473992257,1,False,0.2802010767558068,0.0,10.0,0.2629558742046356,phase_cross_correlation,ambiguous,none,351.6125419992022,351.6187909990549,
dram_anchored_pose-none_0006,dram,anchored,none,none,20260813,822.5367760836219,100.19993813258809,822.5399999991059,100.19999998807907,0.0032245088230208377,1,0.0,10.0,0.0,0.0,0.08513100725616002,1,0.9557886719703674,3.250820908213886,1,False,0.27454754564148187,0.0,10.0,0.24353745579719543,phase_cross_correlation,ambiguous,none,350.7663749915082,350.7724170049187,
dram_anchored_pose-none_0007,dram,anchored,none,none,20260814,856.699548287331,361.4823588129435,856.7000000029802,361.48000000044703,0.002401675128175263,1,0.0,10.0,0.0,0.0,0.09840688089122979,1,0.9604965448379517,3.5698947970805377,1,False,0.2759046848074049,0.0,10.0,0.26145055890083313,phase_cross_correlation,ambiguous,none,353.0312920047436,353.0378339928575,
dram_anchored_pose-none_0008,dram,anchored,none,none,20260815,91.47238092668637,905.5914305352696,91.48000000044703,905.5900000035763,0.007752206517899295,1,0.0,10.0,0.0,0.0,0.08117113700942456,1,0.9614061713218689,3.146919688634967,1,False,0.2926554527442157,0.0,10.0,0.2730494439601898,phase_cross_correlation,ambiguous,none,353.341707988875,353.347832991858,
dram_anchored_pose-small_0009,dram,anchored,small,none,20260816,533.4204479498359,472.60486016751605,533.4099999964237,472.60999999940395,0.011643779555558122,1,-3.6240381070937513,10.180530510537992,3.6240381070937513,-0.18053051053799152,0.06099914188268886,1,0.5243613123893738,2.5320868070133247,1,False,0.28515815035144987,0.0,10.0,0.5545727610588074,phase_cross_correlation,ambiguous,none,351.0093329969095,351.0164579929551,
dram_anchored_pose-small_0010,dram,anchored,small,none,20260817,157.23703385679948,695.5954428901074,157.22999998927116,695.5900000035763,0.008893835291737134,1,-2.9771870975681813,10.136643640649547,2.9771870975681813,-0.13664364064954704,0.05891765573496541,1,0.6297899484634399,2.458220321204718,1,False,0.2911214708911516,0.0,10.0,0.49234822392463684,phase_cross_correlation,ambiguous,none,351.8848329986213,351.89212500699796,
