case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,none,20260807,531.8194732184453,446.266375344203,531.8199999928474,446.2699999958277,0.0036627299478421004,1,0.0,10.0,0.0,0.0,0.0,1,0.9498242139816284,3.3048470561282977,1,False,0.0,0.0,10.0,0.2616632878780365,phase_cross_correlation,ambiguous,none,254.01245898683555,254.0149590058718,
dram_anchored_pose-none_0001,dram,anchored,none,none,20260808,127.76712372639233,709.0552582342465,109.5,526.5799999982119,183.3873160214273,0,0.0,10.0,0.0,0.0,0.0,1,0.9463894367218018,3.1620990237764826,1,False,0.0,0.0,10.0,0.4572169780731201,phase_cross_correlation,ambiguous,none,221.6037089965539,221.60625000833534,
dram_anchored_pose-none_0002,dram,anchored,none,none,20260809,863.977595873166,497.1548480905214,637.4900000002235,579.4700000006706,240.9821887988742,0,0.0,10.0,0.0,0.0,0.0,1,0.9383025169372559,3.4597886383250644,1,False,0.0,0.0,10.0,0.47116729617118835,phase_cross_correlation,ambiguous,none,222.27625000232365,222.27833299257327,
dram_anchored_pose-none_0003,dram,anchored,none,none,20260810,232.65846231244757,735.5809719729891,232.65999999642372,735.5900000035763,0.009158046095822908,1,0.0,10.0,0.0,0.0,0.0,1,0.9638083577156067,3.3068055892512844,1,False,0.0,0.0,10.0,0.24893593788146973,phase_cross_correlation,ambiguous,none,221.65270800178405,221.6544170078123,
dram_anchored_pose-none_0004,dram,anchored,none,none,20260811,503.24196628643364,564.1423323810496,503.24000000953674,564.1500000059605,0.007915725905331494,1,0.0,10.0,0.0,0.0,0.0,1,0.9429335594177246,3.28281481885082,1,False,0.0,0.0,10.0,0.27116143703460693,phase_cross_correlation,ambiguous,none,227.70904199569486,227.7110410068417,
dram_anchored_pose-none_0005,dram,anchored,none,none,20260812,422.4269067090371,119.43962208882554,422.429999999702,119.4400000013411,0.0031162902635733956,1,0.0,10.0,0.0,0.0,0.0,1,0.9648237228393555,3.117700660611783,1,False,0.0,0.0,10.0,0.2629558742046356,phase_cross_correlation,ambiguous,none,221.96691601129714,221.96883300784975,
dram_anchored_pose-none_0006,dram,anchored,none,none,20260813,822.5367760836219,100.19993813258809,880.5799999982119,564.5099999997765,467.9239782202997,0,0.0,10.0,0.0,0.0,0.0,1,0.9591509699821472,3.350377155564449,1,False,0.0,0.0,10.0,0.3187497854232788,phase_cross_correlation,ambiguous,none,222.03070898831356,222.03245900163893,
dram_anchored_pose-none_0007,dram,anchored,none,none,20260814,856.699548287331,361.4823588129435,856.7000000029802,361.48000000044703,0.002401675128175263,1,0.0,10.0,0.0,0.0,0.0,1,0.9610826373100281,3.7022343190126774,1,False,0.0,0.0,10.0,0.26145055890083313,phase_cross_correlation,ambiguous,none,221.6573750047246,221.6592079930706,
dram_anchored_pose-none_0008,dram,anchored,none,none,20260815,91.47238092668637,905.5914305352696,91.48000000044703,905.5900000035763,0.007752206517899295,1,0.0,10.0,0.0,0.0,0.0,1,0.9625678062438965,3.2578085840775,1,False,0.0,0.0,10.0,0.2730494439601898,phase_cross_correlation,ambiguous,none,222.39191699190997,222.393791002105,
dram_anchored_pose-small_0009,dram,anchored,small,none,20260816,533.4204479498359,472.60486016751605,533.4099999964237,472.60999999940395,0.011643779555558122,1,-3.6240381070937513,10.180530510537992,3.6240381070937513,-0.18053051053799152,0.0,1,0.5238604545593262,2.57235360657965,1,False,0.0,0.0,10.0,0.5545727610588074,phase_cross_correlation,ambiguous,none,222.28608300792985,222.28754199750256,
dram_anchored_pose-small_0010,dram,anchored,small,none,20260817,157.23703385679948,695.5954428901074,157.22999998927116,695.5900000035763,0.008893835291737134,1,-2.9771870975681813,10.136643640649547,2.9771870975681813,-0.13664364064954704,0.0,1,0.6380977630615234,2.4926049703008344,1,False,0.0,0.0,10.0,0.49234822392463684,phase_cross_correlation,ambiguous,none,221.95658298733179,221.9589580054162,
dram_anchored_pose-small_0011,dram,anchored,small,none,20260818,140.4249198552512,277.6607457535418,140.42000000178814,277.6599999964237,0.004976053835840167,1,-0.9971327443851219,9.973021960498187,0.9971327443851219,0.0269780395018131,0.0,1,0.9227912425994873,3.519205632051752,1,False,0.0,0.0,10.0,0.2979317903518677,phase_cross_correlation,ambiguous,none,222.45795899652876,222.46004099724814,
dram_anchored_pose-small_0012,dram,anchored,small,none,20260819,684.5194340465712,751.724293826315,684.519999999553,751.7199999988079,0.004330964954666605,1,1.5231630849854527,9.92157446625739,-1.5231630849854527,0.0784255337426103,0.0,1,0.8659343719482422,3.385328766241913,1,False,0.0,0.0,10.0,0.32195520401000977,phase_cross_correlation,ambiguous,none,221.97566700924654,221.97766600584146,
dram_anchored_pose-small_0013,dram,anchored,small,none,20260820,161.6499637080047,300.0920520366508,161.64000000059605,300.1100000143051,0.02052816034634905,1,-1.6726688018631442,9.757904865830433,1.6726688018631442,0.24209513416956696,0.0,1,0.7406356334686279,2.7281735905829123,1,False,0.0,0.0,10.0,0.4375631511211395,phase_cross_correlation,ambiguous,none,222.97391601023264,222.97562500170898,
dram_anchored_pose-small_0014,dram,anchored,small,none,20260821,547.5929936804008,590.6119000312708,547.570000000298,590.5900000035763,0.03175406332566523,1,-3.871768602665372,10.170639298198507,3.871768602665372,-0.1706392981985072,0.0,1,0.4789924919605255,2.3131650527103127,1,False,0.0,0.0,10.0,0.5815218091011047,phase_cross_correlation,ambiguous,none,223.5146250022808,223.51645899470896,
dram_anchored_pose-small_0015,dram,anchored,small,none,20260822,296.0197864783282,168.46931836506195,270.5900000035763,785.5900000035763,617.6444039624547,0,0.6509611341112664,9.81819514442731,-0.6509611341112664,0.18180485557268966,0.0,1,0.8833802938461304,2.8911570808524734,1,False,0.0,0.0,10.0,0.3953096568584442,phase_cross_correlation,ambiguous,none,222.26133300864603,222.263292002026,
dram_anchored_pose-small_0016,dram,anchored,small,none,20260823,889.7587093779482,226.12496344009605,889.7800000011921,226.12999999523163,0.02187824320522021,1,-4.587573327903267,9.805096565701708,4.587573327903267,0.1949034342982916,0.0,1,0.42619064450263977,2.201788602028767,1,False,0.0,0.0,10.0,0.6188564896583557,phase_cross_correlation,ambiguous,none,221.40458300418686,221.40654199756682,
dram_anchored_pose-small_0017,dram,anchored,small,none,20260824,91.42183950224461,124.74985016225746,91.40999999642372,124.84000000357628,0.09092396707079566,1,3.736185778121018,9.882699877094423,-3.736185778121018,0.11730012290557745,0.0,1,0.5843820571899414,2.770529472259347,1,False,0.0,0.0,10.0,0.5214160680770874,phase_cross_correlation,ambiguous,none,224.3756670068251,224.3779170094058,
dram_anchored_pose-large_0018,dram,anchored,large,none,20260825,109.55062008414963,174.15086967780226,699.3400000035763,195.51999999955297,590.1763739734503,0,4.037934832200385,9.999629028678534,-4.037934832200385,0.0003709713214661292,0.0,1,0.5391095280647278,2.586771563934156,1,False,0.0,0.0,10.0,0.5421349406242371,phase_cross_correlation,ambiguous,none,220.8524580055382,220.85445799166337,
dram_anchored_pose-large_0019,dram,anchored,large,none,20260826,231.73725434383206,180.8854368150356,231.7199999988079,180.88999998569489,0.01784754741353423,1,-5.44568965640986,9.890284741803937,5.44568965640986,0.1097152581960632,0.0,1,0.3128372132778168,1.942517558749766,1,False,0.0,0.0,10.0,0.6684367060661316,phase_cross_correlation,ambiguous,none,222.91629199753515,222.91858299286105,
dram_anchored_pose-large_0020,dram,anchored,large,none,20260827,679.0123953323673,678.2839687223943,679.0099999904633,678.2699999958277,0.01417261389903042,1,-2.0602954232265915,10.166401010306199,2.0602954232265915,-0.16640101030619903,0.0,1,0.7411656379699707,3.0495615503528914,1,False,0.0,0.0,10.0,0.41291874647140503,phase_cross_correlation,ambiguous,none,221.51512499840464,221.5169999981299,
dram_anchored_pose-large_0021,dram,anchored,large,none,20260828,827.1137979930003,494.09730673149005,869.5,475.29999999701977,46.36732536008465,0,5.486869702900345,9.889227392751563,-5.486869702900345,0.11077260724843718,0.0,1,0.25874340534210205,1.8790341550134673,1,False,0.0,0.0,10.0,0.7110534906387329,phase_cross_correlation,ambiguous,none,221.19508299510926,221.19754200684838,
dram_anchored_pose-large_0022,dram,anchored,large,none,20260829,662.8915385354463,419.8020058569243,662.8799999952316,419.80000001192093,0.01171158932271472,1,2.483966357784615,9.972760848742194,-2.483966357784615,0.02723915125780607,0.0,1,0.7363110780715942,3.061753730117157,1,False,0.0,0.0,10.0,0.40891098976135254,phase_cross_correlation,ambiguous,none,221.08208300778642,221.0842079948634,
dram_anchored_pose-large_0023,dram,anchored,large,none,20260830,213.63795689004456,378.6551053513811,250.35999999940395,364.4400000013411,39.37737510599691,0,-5.396427190960205,9.97248720904721,5.396427190960205,0.027512790952789246,0.0,1,0.3083108365535736,1.9309463176467248,1,False,0.0,0.0,10.0,0.6895434856414795,phase_cross_correlation,ambiguous,none,222.6649170042947,222.66704200592358,
dram_anchored_pose-large_0024,dram,anchored,large,none,20260831,499.15451024487834,908.5564503561699,499.1399999856949,908.570000000298,0.019852971504800563,1,-5.408718301565868,10.143521041510661,5.408718301565868,-0.14352104151066136,0.0,1,0.2972923219203949,1.945651300869572,1,False,0.0,0.0,10.0,0.7121027708053589,phase_cross_correlation,ambiguous,none,221.36354200483765,221.36550000868738,
dram_anchored_pose-large_0025,dram,anchored,large,none,20260832,546.4791950302235,512.5803248045311,546.480000000447,512.5799999982119,0.0008680300718984123,1,0.2849300117120883,10.050214556273406,-0.2849300117120883,-0.05021455627340643,0.0,1,0.9600164294242859,3.198275498665378,1,False,0.0,0.0,10.0,0.2598426043987274,phase_cross_correlation,ambiguous,none,243.35216700274032,243.35408299521077,
dram_anchored_pose-large_0026,dram,anchored,large,none,20260833,483.25121256729466,83.58333270855138,483.2600000053644,83.57999999821186,0.009398192700568282,1,-2.5213174538290204,10.435749943772796,2.5213174538290204,-0.4357499437727963,0.0,1,0.5480666160583496,2.4658602118743835,1,False,0.0,0.0,10.0,0.5594439506530762,phase_cross_correlation,ambiguous,none,223.04991699638776,223.0520000011893,
dram_unanchored_pose-none_0027,dram,unanchored,none,none,20260834,223.30813925883498,85.44037535669823,292.55000000074506,535.4900000002235,455.34503392568155,0,0.0,10.0,0.0,0.0,0.0,1,0.9646440148353577,3.1902887564572935,1,False,0.0,0.0,10.0,0.26227283477783203,phase_cross_correlation,ambiguous,none,222.0789160055574,222.0806669938611,
dram_unanchored_pose-none_0028,dram,unanchored,none,none,20260835,134.45190713980924,145.84361137703903,809.4600000008941,759.4900000002235,912.2487685375274,0,0.0,10.0,0.0,0.0,0.0,1,0.967560350894928,2.95598151932161,1,False,0.0,0.0,10.0,0.2501705288887024,phase_cross_correlation,ambiguous,none,223.1602079991717,223.16220799984876,
dram_unanchored_pose-none_0029,dram,unanchored,none,none,20260836,693.8766380383479,807.4081672831171,522.4400000013411,807.4099999964237,171.43663804680293,0,0.0,10.0,0.0,0.0,0.0,1,0.9711775779724121,3.362827799144829,1,False,0.0,0.0,10.0,0.23304088413715363,phase_cross_correlation,ambiguous,none,221.63679100049194,221.63899999577552,
